scope_id,quarter_id,plant,work_center,prior_quarter_bottleneck_flag,prior_quarter_overload_hours,prior_quarter_mitigation_used,carry_over_capacity_risk_flag,learning_note
mvp_3plant,2026-Q1,NW01,P01_NW01_ASSY_1,False,0.0,no_lever_available,False,NW01/P01_NW01_ASSY_1: no prior quarter data — first planning period
mvp_3plant,2026-Q2,NW01,P01_NW01_ASSY_1,True,367701.49,no_lever_available,True,"NW01/P01_NW01_ASSY_1: bottleneck persisted from 2026-Q1 into 2026-Q2 (39 prior weeks, 39 current weeks) — escalate lever: no_lever_available"
mvp_3plant,2026-Q3,NW01,P01_NW01_ASSY_1,True,388222.58,no_lever_available,True,"NW01/P01_NW01_ASSY_1: bottleneck persisted from 2026-Q2 into 2026-Q3 (39 prior weeks, 39 current weeks) — escalate lever: no_lever_available"
mvp_3plant,2026-Q4,NW01,P01_NW01_ASSY_1,True,403295.7,no_lever_available,True,"NW01/P01_NW01_ASSY_1: bottleneck persisted from 2026-Q3 into 2026-Q4 (39 prior weeks, 39 current weeks) — escalate lever: no_lever_available"
mvp_3plant,2027-Q1,NW01,P01_NW01_ASSY_1,True,387993.45,no_lever_available,True,"NW01/P01_NW01_ASSY_1: bottleneck persisted from 2026-Q4 into 2027-Q1 (39 prior weeks, 39 current weeks) — escalate lever: no_lever_available"
mvp_3plant,2027-Q2,NW01,P01_NW01_ASSY_1,True,383659.03,no_lever_available,True,"NW01/P01_NW01_ASSY_1: bottleneck persisted from 2027-Q1 into 2027-Q2 (39 prior weeks, 39 current weeks) — escalate lever: no_lever_available"
mvp_3plant,2027-Q3,NW01,P01_NW01_ASSY_1,True,359931.28,no_lever_available,True,"NW01/P01_NW01_ASSY_1: bottleneck persisted from 2027-Q2 into 2027-Q3 (39 prior weeks, 39 current weeks) — escalate lever: no_lever_available"
mvp_3plant,2027-Q4,NW01,P01_NW01_ASSY_1,True,395273.94,no_lever_available,True,"NW01/P01_NW01_ASSY_1: bottleneck persisted from 2027-Q3 into 2027-Q4 (39 prior weeks, 39 current weeks) — escalate lever: no_lever_available"
mvp_3plant,2028-Q1,NW01,P01_NW01_ASSY_1,True,395362.45,no_lever_available,True,"NW01/P01_NW01_ASSY_1: bottleneck persisted from 2027-Q4 into 2028-Q1 (39 prior weeks, 39 current weeks) — escalate lever: no_lever_available"
mvp_3plant,2028-Q2,NW01,P01_NW01_ASSY_1,True,401943.04,no_lever_available,True,"NW01/P01_NW01_ASSY_1: bottleneck persisted from 2028-Q1 into 2028-Q2 (39 prior weeks, 39 current weeks) — escalate lever: no_lever_available"
mvp_3plant,2028-Q3,NW01,P01_NW01_ASSY_1,True,403496.88,no_lever_available,True,"NW01/P01_NW01_ASSY_1: bottleneck persisted from 2028-Q2 into 2028-Q3 (39 prior weeks, 39 current weeks) — escalate lever: no_lever_available"
mvp_3plant,2028-Q4,NW01,P01_NW01_ASSY_1,True,382270.74,no_lever_available,True,"NW01/P01_NW01_ASSY_1: bottleneck persisted from 2028-Q3 into 2028-Q4 (39 prior weeks, 39 current weeks) — escalate lever: no_lever_available"
mvp_3plant,2026-Q1,NW01,P01_NW01_EXTRUSION_1,False,0.0,no_lever_available,False,NW01/P01_NW01_EXTRUSION_1: no prior quarter data — first planning period
mvp_3plant,2026-Q2,NW01,P01_NW01_EXTRUSION_1,True,318010.31,no_lever_available,True,"NW01/P01_NW01_EXTRUSION_1: bottleneck persisted from 2026-Q1 into 2026-Q2 (39 prior weeks, 39 current weeks) — escalate lever: no_lever_available"
